application,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4,3_1,3_2,3_3,3_4,4_1,4_2,4_3,4_4,5_1,5_2,5_3,5_4,6_1,6_2,6_3,6_4,7_1,7_2,7_3,7_4,8_1,8_2,8_3,8_4,Aggregate
ONOS fwd,76.2,67.9,73.2,27,11.9,25.1,97.3,38.3,69.4,45.2,71.6,10.6,308,221,298,127,44.9,6.03,71.6,6.09,101,5.99,71.1,33.9,159,84.5,175,83.8,184,86.2,96.8,84.9,2862.51
ONOS fwd,103,22.2,76.7,40.7,10.1,45.4,82.5,66.9,51.7,49.7,69,31,363,112,286,196,30.8,15.3,77.7,6.45,75.5,7.52,82.7,11.5,226,94.9,102,81.6,98.1,92.9,179,81.1,2868.97
ONOS fwd,70.8,55.9,65.7,13.4,28.4,8.05,57.3,13.7,95.1,19.2,69.9,8.44,395,109,265,187,45.4,5.7,69.1,18.8,68.8,5.91,68.5,167,150,71.6,237,69.7,103,137,122,65,2866.4
ONOS fwd,73.7,38.3,76.7,51.6,60,52.1,7.8,42.6,105,36,87.2,40.9,462,95.5,254,145,6.49,6.63,89,6.62,59,6.62,89.3,19.6,95.3,96.8,125,122,95.4,97.1,226,97,2866.26
ONOS fwd,79.4,69.6,69,61.2,118,34,6.69,13.4,72.7,17.1,70.7,7.31,304,179,345,126,72,14.8,69.2,8.14,78.6,6.21,52.1,35.2,97.4,81,89.4,61.7,133,80.6,253,159,2864.45
ONOS fwd,108,34.6,72.5,32.2,81.4,8.08,46.8,49.7,81.7,14.6,53.8,59,324,95.7,257,277,9.94,5.74,75.4,46.5,74,5.72,73.8,21.5,171,74.5,234,75,104,77.6,141,76.5,2862.28
ONOS fwd,73.6,26.9,75.3,47.6,8.23,71.6,69.2,63.1,33,66.2,74.2,32,352,97.3,287,220,8.01,6.86,74,6.38,78.4,6.37,126,8.12,305,77.5,157,67.9,97.6,79,93.4,79,2867.77
ONOS fwd,81.9,21.2,80.3,29.1,78.9,31.6,51.4,17.3,75.9,39.1,69.9,25.5,328,232,272,121,61.5,6.27,79.9,6.28,76.3,6.26,89.3,26.2,159,80.5,97.4,77.5,94.4,114,213,118,2860.91
ONOS fwd,8.67,23.1,19.4,16.3,56.2,28.6,236,43.4,82.4,45.8,49.4,41.7,252,104,460,138,115,19.1,10.8,6.31,45.2,41.4,16.8,47,96.7,135,87.1,70.7,297,68.8,74.5,125,2861.38
ONOS fwd,63.7,8.87,36,24.5,8.08,17.1,71.8,55,13.8,11.4,67.4,35.9,360,110,382,100,242,59.5,35.1,8.44,13.6,135,36.5,8.7,163,93.3,202,93.7,90.1,94.5,120,94.4,2855.39
ONOS fwd,38.7,74.1,67.3,17.2,26.2,67.5,72.8,26.5,54.5,11.2,65.5,38.5,463,96.9,296,96.4,62.2,68.7,71,35.4,47.2,7.18,35.9,64.6,193,84.6,214,93,66.9,85.8,129,84.9,2855.68
ONOS fwd,84.5,21.8,68,37.7,79.4,8.25,44.8,16.8,83.1,6.73,40.5,35.6,303,103,424,123,52.3,40.8,64.9,51.9,84.1,45,51.3,35.1,138,89.4,87.9,160,129,88.7,172,88.8,2859.38
ONOS fwd,70.1,8.76,98.5,7.6,78.1,9.44,67.9,18.6,70.6,10.9,71.3,7.45,426,93.2,340,94.3,58.6,135,7.47,63.7,65.8,51.3,36.1,15,91.8,74.7,167,76.4,92.2,210,164,76,2857.82
ONOS fwd,53.7,60.1,50.5,117,33.8,10.3,60.7,5.68,48.6,5.94,26.6,8.58,259,82.2,482,131,65.1,5.57,46.4,14.1,60.6,34.8,48.3,197,183,73.7,142,63.9,249,73,97.2,71.2,2860.57
ONOS fwd,72.5,11.7,75.9,9.91,9.14,55.2,64.8,42,74.3,27.5,68.3,23.7,352,181,263,157,44.2,6.13,151,61.3,76.4,11.4,50.6,15.6,206,115,115,77.8,118,78.3,165,77.9,2857.58
ONOS fwd,75.7,36.4,60.6,19.6,7.05,12.6,22.2,14.8,52.5,11.4,416,7.06,320,145,180,309,77.4,6.13,40,21,34.6,15.4,15,6.69,229,86.8,84.5,86.6,157,87,134,86.8,2857.83
ONOS fwd,71.7,15.7,74.9,66.4,6.64,57.1,61.5,6.7,95.7,7.82,67.3,14.3,312,159,297,185,56.4,6.03,104,9.12,71.6,41.3,74.7,41,156,84.9,174,84.8,182,85.4,97.5,85.8,2853.31
ONOS fwd,81.7,69.7,65.4,28.8,12,12.2,72.9,22.8,80.8,64.6,72.5,50.9,341,148,332,133,58.6,56.4,8.05,14.2,93.3,16.2,55.7,15.9,98.2,79.7,88.6,79.1,188,80.4,258,80.5,2859.15
ONOS fwd,42.5,29,45.3,73.3,7.32,59.9,73.8,7.76,68.9,71.5,67.3,11.8,381,143,322,106,74,6.47,72.3,15.9,75.2,16.5,72.7,61.3,136,87.1,115,85.7,167,92.5,185,84.4,2857.45
ONOS fwd,53.9,8.28,70.5,12.8,71.6,66.3,24.8,66.2,76.5,52.6,37,66.2,306,134,422,91.7,76.3,5.95,52.9,10.5,59.5,31.6,57.3,52.3,110,80.9,194,78.1,199,79.8,95.1,116,2859.63
