-----------------------------------------------------------
Server listening on 81
-----------------------------------------------------------
Accepted connection from 10.0.0.1, port 38858
[ 98]   3.00-4.00   sec  2.88 MBytes  24.2 Mbits/sec                  
[100]   3.00-4.00   sec  4.80 MBytes  40.3 Mbits/sec                  
[102]   3.00-4.00   sec  3.60 MBytes  30.2 Mbits/sec                  
[104]   3.00-4.00   sec   710 KBytes  5.82 Mbits/sec                  
[SUM]   3.00-4.00   sec   114 MBytes   955 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   4.00-5.00   sec  1.60 MBytes  13.4 Mbits/sec                  
[  8]   4.00-5.00   sec   984 KBytes  8.06 Mbits/sec                  
[ 10]   4.00-5.00   sec   793 KBytes  6.50 Mbits/sec                  
[ 12]   4.00-5.00   sec  2.87 MBytes  24.1 Mbits/sec                  
[ 14]   4.00-5.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 16]   4.00-5.00   sec   980 KBytes  8.03 Mbits/sec                  
[ 18]   4.00-5.00   sec  1.20 MBytes  10.0 Mbits/sec                  
[ 20]   4.00-5.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 22]   4.00-5.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 24]   4.00-5.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 26]   4.00-5.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 28]   4.00-5.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 30]   4.00-5.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 32]   4.00-5.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 34]   4.00-5.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 36]   4.00-5.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 38]   4.00-5.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 40]   4.00-5.00   sec   980 KBytes  8.03 Mbits/sec                  
[ 42]   4.00-5.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 44]   4.00-5.00   sec   980 KBytes  8.03 Mbits/sec                  
[ 46]   4.00-5.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 48]   4.00-5.00   sec  4.78 MBytes  40.1 Mbits/sec                  
[ 50]   4.00-5.00   sec   984 KBytes  8.06 Mbits/sec                  
[ 52]   4.00-5.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 54]   4.00-5.00   sec  7.17 MBytes  60.1 Mbits/sec                  
[ 56]   4.00-5.00   sec  2.86 MBytes  24.0 Mbits/sec                  
[ 58]   4.00-5.00   sec  4.78 MBytes  40.1 Mbits/sec                  
[ 60]   4.00-5.00   sec  2.90 MBytes  24.3 Mbits/sec                  
[ 62]   4.00-5.00   sec  3.57 MBytes  30.0 Mbits/sec                  
